GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
47001,2000,Anderson County,Tennessee,71330.0,13.14,27.49,450.0,35483.0,87500.0,24.3,92.7,3.85,1.1,0.31,0.81,0.01,1.14,0.07,8189.0,125.0,118.0,1.44,1.53,0,0,1
47003,2000,Bedford County,Tennessee,37586.0,13.14,26.46,488.0,36729.0,79000.0,23.7,82.64,8.39,7.48,0.21,0.43,0.05,0.77,0.05,3679.0,104.0,98.0,2.66,2.83,0,0,0
47005,2000,Benton County,Tennessee,16537.0,15.63,19.47,367.0,28679.0,67000.0,22.9,95.75,2.1,0.95,0.31,0.24,0.0,0.62,0.03,1336.0,17.0,17.0,1.27,1.27,0,0,0
47007,2000,Bledsoe County,Tennessee,12367.0,18.07,18.24,343.0,28982.0,67200.0,22.3,93.66,3.67,1.12,0.36,0.11,0.02,1.03,0.02,808.0,0.0,0.0,0.0,0.0,0,0,0
47009,2000,Blount County,Tennessee,105823.0,9.73,24.11,450.0,37862.0,103900.0,23.0,94.12,2.88,1.06,0.27,0.72,0.02,0.88,0.05,10286.0,210.0,201.0,1.95,2.04,0,0,1
47011,2000,Bradley County,Tennessee,87965.0,12.22,31.43,455.0,35034.0,91700.0,24.5,91.99,3.96,2.07,0.25,0.56,0.01,1.08,0.08,10774.0,,,,,0,0,0
47013,2000,Campbell County,Tennessee,39854.0,22.83,26.59,356.0,25285.0,65600.0,26.5,97.64,0.3,0.67,0.31,0.15,0.04,0.87,0.03,4288.0,80.0,75.0,1.75,1.87,0,0,0
47015,2000,Cannon County,Tennessee,12826.0,12.77,21.45,382.0,32809.0,79600.0,23.9,96.14,1.4,1.22,0.31,0.1,0.02,0.76,0.05,1072.0,5.0,5.0,0.47,0.47,0,0,0
47017,2000,Carroll County,Tennessee,29475.0,13.89,21.08,384.0,30463.0,60900.0,22.3,87.0,10.28,1.31,0.22,0.16,0.02,0.97,0.04,2485.0,30.0,28.0,1.13,1.21,0,0,1
47019,2000,Carter County,Tennessee,56742.0,16.85,25.08,393.0,27371.0,77300.0,24.3,96.92,0.98,0.89,0.19,0.26,0.01,0.73,0.03,5891.0,,,,,0,0,0
47021,2000,Cheatham County,Tennessee,35912.0,7.44,16.35,588.0,45836.0,109100.0,23.3,96.08,1.45,1.22,0.36,0.18,0.05,0.62,0.04,2105.0,37.0,36.0,1.71,1.76,0,0,0
47023,2000,Chester County,Tennessee,15540.0,14.35,22.67,401.0,34349.0,78900.0,26.3,87.59,10.02,0.97,0.21,0.23,0.0,0.87,0.11,1281.0,16.0,12.0,0.94,1.25,0,0,0
47025,2000,Claiborne County,Tennessee,29862.0,22.56,21.43,353.0,25782.0,72000.0,24.1,97.36,0.75,0.64,0.24,0.25,0.01,0.7,0.04,2528.0,27.0,25.0,0.99,1.07,0,0,1
47027,2000,Clay County,Tennessee,7976.0,19.12,19.86,252.0,23958.0,56400.0,21.3,96.09,1.32,1.35,0.33,0.14,0.05,0.73,0.0,671.0,0.0,0.0,0.0,0.0,0,0,0
47029,2000,Cocke County,Tennessee,33565.0,22.52,24.54,334.0,25553.0,73600.0,23.7,95.5,1.99,1.05,0.33,0.15,0.01,0.9,0.05,3377.0,39.0,36.0,1.07,1.15,0,0,1
47031,2000,Coffee County,Tennessee,48014.0,14.32,28.54,445.0,34898.0,82200.0,24.6,92.31,3.52,2.19,0.27,0.72,0.03,0.9,0.06,5390.0,,,,,0,0,0
47033,2000,Crockett County,Tennessee,14532.0,16.87,25.11,393.0,30015.0,65200.0,23.0,79.47,14.29,5.46,0.15,0.06,0.0,0.55,0.02,1414.0,,,,,0,0,0
47035,2000,Cumberland County,Tennessee,46802.0,14.69,19.38,418.0,30901.0,91400.0,25.1,97.44,0.12,1.23,0.24,0.24,0.02,0.69,0.02,3781.0,,,,,0,0,0
47037,2000,Davidson County,Tennessee,569891.0,12.99,44.68,615.0,39797.0,115800.0,25.2,65.13,25.78,4.58,0.26,2.31,0.06,1.71,0.16,106065.0,,,,,0,0,0
47039,2000,Decatur County,Tennessee,11731.0,15.98,19.95,346.0,28741.0,58300.0,22.9,93.38,3.46,1.95,0.22,0.17,0.03,0.73,0.06,979.0,,,,,0,0,0
47041,2000,DeKalb County,Tennessee,17423.0,17.02,25.1,389.0,30359.0,82600.0,25.4,93.77,1.43,3.63,0.26,0.14,0.02,0.7,0.05,1753.0,6.0,6.0,0.34,0.34,0,0,1
47043,2000,Dickson County,Tennessee,43156.0,10.2,23.88,506.0,39056.0,96200.0,25.8,92.73,4.54,1.12,0.38,0.27,0.01,0.92,0.03,3934.0,85.0,77.0,1.96,2.16,0,0,0
47045,2000,Dyer County,Tennessee,37279.0,15.93,34.34,424.0,32788.0,74900.0,23.5,84.77,12.83,1.16,0.21,0.32,0.02,0.65,0.02,5066.0,48.0,44.0,0.87,0.95,0,0,1
47047,2000,Fayette County,Tennessee,28806.0,14.31,19.68,383.0,40279.0,100100.0,25.0,61.99,35.8,1.03,0.17,0.21,0.01,0.75,0.03,2060.0,12.0,12.0,0.58,0.58,0,0,0
47049,2000,Fentress County,Tennessee,16625.0,23.06,20.92,322.0,23238.0,56500.0,23.3,98.76,0.11,0.54,0.15,0.09,0.0,0.35,0.0,1400.0,2.0,1.0,0.07,0.14,0,0,1
47051,2000,Franklin County,Tennessee,39270.0,13.19,21.55,439.0,36044.0,82600.0,23.6,91.36,5.46,1.58,0.19,0.39,0.03,0.93,0.06,3233.0,9.0,9.0,0.28,0.28,0,0,1
