,county,pov-evic-corr,tract-pov-evic-corr,filtered-pec,filtered-tpec,pov-filing-corr,tract-pov-filing-corr,filtered-fpc,filtered-tfpc,census-pec,census-tpec,census-filt-pec,census-filt-tpec,census-pfc,census-tpfc,census-filt-pfc,census-filt-tpfc
0,Lauderdale County,0.19489477315826603,0.23252786375013806,0.19489477315826603,0.23252786375013806,-0.21373984501470555,0.22148853775239555,-0.21373984501470555,0.22148853775239555,-0.31764588643026326,0.11626957397702489,-0.31764588643026326,0.11626957397702489,-0.9997789437281309,0.13977418157468288,-0.9997789437281309,0.13977418157468288
1,Obion County,0.43490604746977296,0.389028245871546,0.43490604746977296,0.389028245871546,0.42650791902879054,0.403973579377701,0.42650791902879054,0.403973579377701,0.7242224244271868,0.6320887240524306,0.7242224244271868,0.6320887240524306,0.7281975060555084,0.6469605367132307,0.7281975060555084,0.6469605367132307
2,Putnam County,-0.37188086188794256,-0.03169518486776851,,,-0.04938093178527138,0.07002737995841081,,,,0.6417651085403594,,,,0.5722646585288444,,
3,Jefferson County,-0.4623719196589236,-0.09825740516305997,-0.4623719196589236,-0.09825740516305997,-0.41654250113939406,-0.0785178105932445,-0.41654250113939406,-0.0785178105932445,-1.0,-0.2810511260354556,-1.0,-0.2810511260354556,-1.0,-0.27659482032005966,-1.0,-0.27659482032005966
4,Shelby County,-0.537167214484696,0.023958784271128554,-0.537167214484696,0.023958784271128554,-0.2104953963871352,-0.012620791340316087,-0.2104953963871352,-0.012620791340316087,-0.41299507434724153,0.22670043289576192,-0.41299507434724153,0.22670043289576192,0.8704270555345069,0.07669178813287152,0.8704270555345069,0.07669178813287152
5,Stewart County,-0.22111508952409836,0.2352738473103501,0.9275775903573162,0.4954046182480146,-0.3113742641742243,0.2522346641436584,0.8219949365267863,0.5341433727120456,0.3542199739610865,0.08318405034618262,,,0.31206976317401286,0.10879198048109712,,
6,DeKalb County,0.032124670480574664,0.00350929753332297,-0.5843791308727472,-0.21569977270720703,0.09055214315583673,0.11757779083514518,-0.22766833936942305,0.10670745703009492,-0.8611915063982333,-0.7200693629882444,,0.4988401152647873,-0.8611915063982333,-0.7200693629882444,,0.4988401152647873
7,Blount County,-0.40901354099870085,0.036577485938918776,,-0.14406536961136027,-0.4407890635394161,0.038925719101519714,,-0.15877170486251058,0.1708877870624536,0.05251878108376514,,,0.14461110700745813,0.06537643409975863,,
8,Anderson County,-0.6455656278707156,-0.10848590854076365,,,-0.7259700719898221,-0.12609874702951804,,,-1.0,-0.19408568078762992,,,-0.9999999999999999,-0.20754758609849375,,
9,Knox County,-0.13677772014082995,0.2483646167934848,-0.13677772014082995,0.2483646167934848,0.2573950788863853,0.19579644526370343,0.2573950788863853,0.19579644526370343,0.13519916288217265,0.47727672254836123,0.13519916288217265,0.47727672254836123,-0.5940138889886581,0.27874796506327637,-0.5940138889886581,0.27874796506327637
10,Montgomery County,-0.21622660972810856,-0.017843936776955317,-0.21622660972810856,-0.017843936776955317,0.46111369199033614,-0.009507554595803292,0.46111369199033614,-0.009507554595803292,1.0,0.4737083839664833,1.0,0.4737083839664833,1.0,0.6212617575042076,1.0,0.6212617575042076
11,Madison County,0.3895587694610676,0.21854800917236455,0.40174943726628626,0.2251436309500073,0.381121525769254,0.2077922724859066,0.3937526155791324,0.21561570414309073,0.5561406006869053,0.37834233879139134,0.5561406006869053,0.37834233879139134,0.5323236594841249,0.35329529116942787,0.5323236594841249,0.35329529116942787
12,Lake County,0.41887863807699244,0.23511170334876935,0.41887863807699244,0.23511170334876935,0.4498774615677616,0.22756321175631733,0.4498774615677616,0.22756321175631733,0.5631961019771997,0.7593699612100108,0.5631961019771997,0.7593699612100108,0.656381991514527,0.7686039641550132,0.656381991514527,0.7686039641550132
13,Cumberland County,-0.36855448206774255,-0.183684192853813,-0.7387952981270444,-0.15749766867333698,-0.37860198850448246,-0.15818292019664948,-0.7168287972501488,-0.1441714275699302,,0.27473498116115613,,0.27473498116115613,,0.289911184859231,,0.289911184859231
14,Grainger County,0.5761143337709681,0.19175893457528545,0.4252728372424019,0.02562218029997567,0.574875228278664,0.24377838765495102,0.42548509265987483,0.09944996259815932,-0.17747118377331544,-0.3441924997484146,-0.5513352812508121,-0.3090530948613439,-0.1586319807150136,-0.31468535117961205,-0.4812574369795106,-0.27126212095262137
15,Macon County,-0.584096956386999,0.23872235434493316,-0.584096956386999,0.23872235434493316,-0.5994218435977877,0.2245365833509995,-0.5994218435977877,0.2245365833509995,-0.6114899076462876,0.35498619436116435,-0.6114899076462876,0.35498619436116435,-0.7307934377868769,0.33901199061855675,-0.7307934377868769,0.33901199061855675
16,Marshall County,-0.670417671970722,0.10655017109524836,,,-0.6568154178661719,0.13858323548839224,,,-0.8412334700164291,0.21231757972692503,,,-0.8412334700164291,0.21231757972692503,,
17,Grundy County,-0.4780669457838939,0.2180589276142969,-0.1343728593996562,-0.08783684134398598,-0.4611913868675569,0.2684498197828914,0.04429664494048217,-0.0936134210302128,0.4689946846165905,-0.0506663566720749,0.4689946846165905,-0.0506663566720749,0.5287779095327374,-0.11566976470153875,0.5287779095327374,-0.11566976470153875
18,Claiborne County,-0.5675421644507291,-0.10763156851477972,-0.4438037939317836,0.023704664378307216,-0.4616528953510427,-0.052117774842139385,-0.24802397018398703,0.09045986747774279,-0.59692181549434,-0.2614892970430088,,0.10106199501713233,-0.5079469484934445,-0.26038747529743406,,0.08298635104437596
19,Polk County,-0.3363356539770537,0.18507136555798048,-0.44601300628913865,0.28469448701968164,-0.34310658615350625,0.1908047743509187,-0.4488821758053698,0.271555501543216,0.9509500260884466,-0.24035449765077818,,0.5000000000000001,0.9027316784267923,0.0924155439630669,,0.49999999999999994
20,Hickman County,0.16702424563121723,0.02286285292790405,5.307032229857368e-17,-0.23982079252704513,0.17651488697376536,0.04081898132047024,-2.1479416553581572e-16,-0.2557581091360597,0.4540496177025214,0.013715497080581607,,0.4076537061553789,0.4459865204673336,0.035350577693534245,,0.46558773397887043
21,Hawkins County,-0.14674136315054753,0.022557870432661175,-0.14674136315054753,0.022557870432661175,-0.1023029721004775,0.15719508640641716,-0.1023029721004775,0.15719508640641716,0.18879898594184052,0.29708951919859955,0.18879898594184052,0.29708951919859955,0.060617284578022984,0.3511135316904364,0.060617284578022984,0.3511135316904364
22,Cheatham County,0.32330482478778083,0.17868471998495167,0.32330482478778083,0.17868471998495167,0.2920082683235038,-0.015117771699409576,0.2920082683235038,-0.015117771699409576,0.65548148497647,-0.16095606931541354,0.65548148497647,-0.16095606931541354,0.7644329148172405,-0.20508101055829256,0.7644329148172405,-0.20508101055829256
23,Warren County,,,,,,,,,,,,,,,,
24,McNairy County,0.513499371870874,0.12559142966475279,0.12633925221872624,0.07420033135359783,0.5032625715244359,0.14598372975849117,0.21899466449544605,0.09082925925402728,0.9202451710209706,-0.11633735947514776,0.7504778477830518,-0.06781604961014844,0.9137435018354565,-0.030252434058112346,0.886950651587724,0.0323613781724103
25,Clay County,0.1964552792279954,0.20402770127986816,0.1964552792279954,0.20402770127986816,0.12419164929858648,0.1641826726977257,0.12419164929858648,0.1641826726977257,0.3721325819285279,0.5002683956892908,0.3721325819285279,0.5002683956892908,0.2462525201259287,0.4130747969452181,0.2462525201259287,0.4130747969452181
26,Bradley County,0.08531008690869533,0.32321311752659576,0.09261246907618893,0.33700201103696575,-0.327847062561688,0.22615596255977188,-0.4507208713738683,0.2085335026620869,,0.29058941697353685,,0.5925721677948697,,0.34682048933923104,,0.6429684918258965
27,Hardin County,-0.24818242203459248,0.2314839228757707,,,-0.2209402359071339,0.2175692412139774,,,-0.43778247459011943,0.4162324172276238,,,-0.5061764671275277,0.3991950538586676,,
28,Jackson County,0.46152758571351826,-0.06410645785939133,0.5611918713864527,-0.0053729273294449995,0.5842990754529241,0.010945452271384028,0.700136181366247,0.06667884981144243,0.7476994146294265,0.03813695975413702,0.7476994146294265,0.22561959894533704,0.7259062741978212,0.04521849811558386,0.7259062741978212,0.22516730975569388
29,Fentress County,0.20696021199755887,-0.22550509529448934,-0.019782940025446078,-0.17989803604903473,0.1965606720516157,-0.19797050825655657,-0.10764010020346197,-0.14791107172386117,0.2435698743620841,-0.6331044411759816,,-0.6976194739289194,0.2735979452865396,-0.5892064342222677,,-0.6976194739289194
30,Perry County,-0.5330164325607338,-0.049902943840807686,-0.5330164325607338,-0.049902943840807686,-0.4607022015443148,-0.01027531713174013,-0.4607022015443148,-0.01027531713174013,-0.5639682335868825,-0.1305277871476814,-0.5639682335868825,-0.1305277871476814,-0.18612220075891728,0.04567363615115074,-0.18612220075891728,0.04567363615115074
31,Trousdale County,-0.23156628013067843,-0.15570806181946834,-0.23156628013067843,-0.15570806181946834,-0.19168140018193866,-0.09190707375483519,-0.19168140018193866,-0.09190707375483519,-0.503511480912907,-0.30383439032039117,-0.503511480912907,-0.30383439032039117,-0.6780522590437631,-0.0845424055262382,-0.6780522590437631,-0.0845424055262382
32,Johnson County,-0.706232232608071,0.19982071196638948,-0.7088871224108338,0.18799223237710885,-0.7523130411719495,0.23296416297429806,-0.758809229192965,0.22640973956779362,-0.5585207016155291,0.25556453921317196,0.12240321578979692,0.52491549310957,-0.5461562286907802,0.24669096210242147,0.16481287627293864,0.5158824737126948
33,Rhea County,0.3907821020407698,0.2662120402501649,0.7426126413874344,0.3229101201423343,0.4214010177497911,0.2910480773933126,0.788703868113954,0.3693289287368507,,0.48616994621313353,,0.48616994621313353,,0.6699940767442992,,0.6699940767442992
34,Maury County,,0.13930325044051625,,,,0.10718811661272042,,,,0.17783340198015862,,,,0.1746863978714726,,
35,Houston County,0.7452106496281922,0.2575112585935763,0.7452106496281922,0.2575112585935763,0.7565117243474124,0.22393185759321566,0.7565117243474124,0.22393185759321566,0.7039495265635387,-0.09981254468743146,0.7039495265635387,-0.09981254468743146,0.537272893675308,-0.5357080749751009,0.537272893675308,-0.5357080749751009
36,Giles County,,-0.11672986664057804,,-0.1636800474867104,,-0.12213834370035127,,-0.12232339656943893,,-0.41468341558178873,,-0.41468341558178873,,-0.3952819413603038,,-0.3952819413603038
