GEOID,year,renter-occupied-households,eviction-filings,eviction-filings-imp,eviction-filings-non-imp,evictions,evictions-imp,evictions-non-imp,eviction-rate,eviction-filing-rate,imputed,subbed,low-flag
01001,2000,3074,61.0,3.0,58.0,40.0,2.0,38.0,1.3,1.98,0,0,1
01001,2001,3264,89.0,6.0,83.0,37.0,2.0,35.0,1.13,2.73,0,0,0
01001,2002,3454,103.0,3.0,100.0,20.0,1.0,19.0,0.58,2.98,0,0,0
01001,2003,3644,107.0,3.0,104.0,12.0,0.0,12.0,0.33,2.94,0,0,0
01001,2004,3834,98.0,76.0,22.0,18.0,6.0,12.0,0.47,2.56,1,0,0
01001,2005,4024,89.0,76.0,13.0,42.0,32.0,10.0,1.04,2.21,1,0,0
01001,2006,4213,85.0,7.0,78.0,40.0,5.0,35.0,0.95,2.02,0,0,1
01001,2007,4403,87.0,4.0,83.0,47.0,4.0,43.0,1.07,1.98,0,0,1
01001,2008,4593,134.0,3.0,131.0,79.0,2.0,77.0,1.72,2.92,0,0,0
01001,2009,4783,111.0,2.0,109.0,56.0,1.0,55.0,1.17,2.32,0,0,0
01001,2010,4973,108.0,3.0,105.0,52.0,1.0,51.0,1.05,2.17,0,0,0
01001,2011,5040,120.0,5.0,115.0,69.0,2.0,67.0,1.37,2.38,0,0,0
01001,2012,5107,175.0,5.0,170.0,101.0,1.0,100.0,1.98,3.43,0,0,0
01001,2013,5174,184.0,11.0,173.0,117.0,9.0,108.0,2.26,3.56,0,0,0
01001,2014,5240,152.0,6.0,146.0,86.0,3.0,83.0,1.64,2.9,0,0,0
01001,2015,5307,147.0,13.0,134.0,88.0,12.0,76.0,1.66,2.77,0,0,0
01001,2016,5374,154.0,27.0,127.0,116.0,20.0,96.0,2.16,2.87,0,0,0
01003,2000,11320,213.0,27.0,186.0,65.0,7.0,58.0,0.57,1.88,0,0,1
01003,2001,12199,313.0,43.0,270.0,94.0,19.0,75.0,0.77,2.57,0,0,0
01003,2002,13078,371.0,37.0,334.0,105.0,12.0,93.0,0.8,2.84,0,0,0
01003,2003,13957,308.0,34.0,274.0,95.0,12.0,83.0,0.68,2.21,0,0,1
01003,2004,14836,384.0,42.0,342.0,106.0,6.0,100.0,0.71,2.59,0,0,1
01003,2005,15715,500.0,46.0,454.0,268.0,23.0,245.0,1.71,3.18,0,0,0
01003,2006,16593,512.0,40.0,472.0,253.0,20.0,233.0,1.52,3.09,0,0,0
01003,2007,17472,605.0,59.0,546.0,392.0,44.0,348.0,2.24,3.46,0,0,0
01003,2008,18351,671.0,59.0,612.0,438.0,38.0,400.0,2.39,3.66,0,0,0
01003,2009,19230,626.0,62.0,564.0,360.0,30.0,330.0,1.87,3.26,0,0,0
01003,2010,20109,620.0,57.0,563.0,358.0,33.0,325.0,1.78,3.08,0,0,0
01003,2011,20748,655.0,45.0,610.0,417.0,25.0,392.0,2.01,3.16,0,0,1
01003,2012,21386,888.0,90.0,798.0,461.0,43.0,418.0,2.16,4.15,0,0,0
01003,2013,22025,834.0,73.0,761.0,483.0,41.0,442.0,2.19,3.79,0,0,0
01003,2014,22663,686.0,55.0,631.0,385.0,29.0,356.0,1.7,3.03,0,0,0
01003,2015,23302,649.0,63.0,586.0,476.0,47.0,429.0,2.04,2.79,0,0,0
01003,2016,23940,776.0,72.0,704.0,504.0,50.0,454.0,2.11,3.24,0,0,0
01005,2000,2797,15.0,2.0,13.0,11.0,2.0,9.0,0.39,0.54,0,0,0
01005,2001,2844,37.0,8.0,29.0,10.0,1.0,9.0,0.35,1.3,0,0,0
01005,2002,2890,46.0,5.0,41.0,14.0,2.0,12.0,0.48,1.59,0,0,0
01005,2003,2937,36.0,5.0,31.0,8.0,0.0,8.0,0.27,1.23,0,0,0
01005,2004,2984,48.0,7.0,41.0,15.0,1.0,14.0,0.5,1.61,0,0,0
01005,2005,3031,21.0,1.0,20.0,9.0,0.0,9.0,0.3,0.69,0,0,0
01005,2006,3077,34.0,1.0,33.0,22.0,1.0,21.0,0.71,1.1,0,0,0
01005,2007,3124,31.0,3.0,28.0,18.0,1.0,17.0,0.58,0.99,0,0,0
01005,2008,3171,17.0,2.0,15.0,12.0,2.0,10.0,0.38,0.54,0,0,0
01005,2009,3217,23.0,1.0,22.0,16.0,1.0,15.0,0.5,0.71,0,0,0
01005,2010,3264,19.0,2.0,17.0,14.0,0.0,14.0,0.43,0.58,0,0,0
01005,2011,3277,19.0,1.0,18.0,15.0,1.0,14.0,0.46,0.58,0,0,0
01005,2012,3289,20.0,7.0,13.0,12.0,3.0,9.0,0.36,0.61,0,0,0
01005,2013,3302,32.0,5.0,27.0,18.0,3.0,15.0,0.55,0.97,0,0,0
01005,2014,3314,28.0,6.0,22.0,18.0,5.0,13.0,0.54,0.84,0,0,0
01005,2015,3327,28.0,4.0,24.0,16.0,3.0,13.0,0.48,0.84,0,0,0
01005,2016,3339,40.0,4.0,36.0,21.0,0.0,21.0,0.63,1.2,0,0,0
01007,2000,1470,13.0,3.0,10.0,8.0,2.0,6.0,0.54,0.88,0,0,0
01007,2001,1517,27.0,9.0,18.0,5.0,2.0,3.0,0.33,1.78,0,0,0
01007,2002,1564,13.0,3.0,10.0,2.0,1.0,1.0,0.13,0.83,0,0,0
01007,2003,1612,21.0,5.0,16.0,4.0,1.0,3.0,0.25,1.3,0,0,0
01007,2004,1659,21.0,3.0,18.0,3.0,0.0,3.0,0.18,1.27,0,0,0
01007,2005,1706,4.0,1.0,3.0,4.0,1.0,3.0,0.23,0.23,0,0,0
01007,2006,1753,12.0,1.0,11.0,9.0,1.0,8.0,0.51,0.68,0,0,0
01007,2007,1800,13.0,1.0,12.0,11.0,1.0,10.0,0.61,0.72,0,0,0
01007,2008,1848,30.0,9.0,21.0,20.0,8.0,12.0,1.08,1.62,0,0,0
01007,2009,1895,19.0,5.0,14.0,11.0,3.0,8.0,0.58,1.0,0,0,0
01007,2010,1942,10.0,0.0,10.0,10.0,0.0,10.0,0.51,0.51,0,0,0
01007,2011,1969,22.0,11.0,11.0,22.0,11.0,11.0,1.12,1.12,0,0,0
01007,2012,1996,29.0,17.0,12.0,17.0,9.0,8.0,0.85,1.45,0,0,0
01007,2013,2023,34.0,17.0,17.0,16.0,7.0,9.0,0.79,1.68,0,0,0
01007,2014,2050,33.0,5.0,28.0,19.0,2.0,17.0,0.93,1.61,0,0,0
01007,2015,2077,43.0,16.0,27.0,32.0,13.0,19.0,1.54,2.07,0,0,0
01007,2016,2104,29.0,9.0,20.0,18.0,5.0,13.0,0.86,1.38,0,0,0
01009,2000,3190,,,,,,,,,0,0,0
01009,2001,3290,64.0,5.0,59.0,55.0,5.0,50.0,1.67,1.95,0,0,0
01009,2002,3391,78.0,6.0,72.0,67.0,6.0,61.0,1.98,2.3,0,0,0
01009,2003,3491,65.0,4.0,61.0,26.0,1.0,25.0,0.74,1.86,0,0,0
01009,2004,3592,56.0,5.0,51.0,47.0,4.0,43.0,1.31,1.56,0,0,0
01009,2005,3692,72.0,4.0,68.0,46.0,0.0,46.0,1.25,1.95,0,0,0
01009,2006,3792,70.0,8.0,62.0,60.0,6.0,54.0,1.58,1.85,0,0,0
01009,2007,3893,42.0,4.0,38.0,29.0,3.0,26.0,0.74,1.08,0,0,0
01009,2008,3993,45.0,4.0,41.0,31.0,3.0,28.0,0.78,1.13,0,0,0
01009,2009,4094,52.0,1.0,51.0,34.0,0.0,34.0,0.83,1.27,0,0,0
01009,2010,4194,36.0,0.0,36.0,27.0,0.0,27.0,0.64,0.86,0,0,0
01009,2011,4255,62.0,4.0,58.0,46.0,4.0,42.0,1.08,1.46,0,0,0
01009,2012,4316,46.0,1.0,45.0,36.0,1.0,35.0,0.83,1.07,0,0,0
01009,2013,4377,61.0,2.0,59.0,35.0,1.0,34.0,0.8,1.39,0,0,0
01009,2014,4437,86.0,4.0,82.0,57.0,3.0,54.0,1.28,1.94,0,0,0
01009,2015,4498,67.0,8.0,59.0,48.0,5.0,43.0,1.07,1.49,0,0,0
01009,2016,4559,72.0,7.0,65.0,47.0,2.0,45.0,1.03,1.58,0,0,0
01011,2000,1012,7.0,2.0,5.0,6.0,2.0,4.0,0.59,0.69,0,0,0
01011,2001,1028,18.0,2.0,16.0,11.0,2.0,9.0,1.07,1.75,0,0,0
01011,2002,1044,25.0,6.0,19.0,9.0,3.0,6.0,0.86,2.4,0,0,0
01011,2003,1059,20.0,5.0,15.0,8.0,2.0,6.0,0.76,1.89,0,0,0
01011,2004,1075,29.0,8.0,21.0,10.0,3.0,7.0,0.93,2.7,0,0,0
01011,2005,1091,14.0,1.0,13.0,2.0,0.0,2.0,0.18,1.28,0,0,0
01011,2006,1106,24.0,3.0,21.0,6.0,1.0,5.0,0.54,2.17,0,0,0
01011,2007,1122,26.0,4.0,22.0,7.0,1.0,6.0,0.62,2.32,0,0,0
01011,2008,1138,39.0,11.0,28.0,18.0,6.0,12.0,1.58,3.43,0,0,0
01011,2009,1153,28.0,9.0,19.0,17.0,5.0,12.0,1.47,2.43,0,0,0
01011,2010,1169,33.0,8.0,25.0,14.0,2.0,12.0,1.2,2.82,0,0,0
01011,2011,1178,24.0,9.0,15.0,18.0,6.0,12.0,1.53,2.04,0,0,0
01011,2012,1186,38.0,8.0,30.0,26.0,6.0,20.0,2.19,3.2,0,0,0
01011,2013,1195,27.0,12.0,15.0,7.0,3.0,4.0,0.59,2.26,0,0,0
01011,2014,1203,43.0,6.0,37.0,23.0,2.0,21.0,1.91,3.57,0,0,0
01011,2015,1212,43.0,15.0,28.0,17.0,5.0,12.0,1.4,3.55,0,0,0
01011,2016,1220,31.0,8.0,23.0,11.0,2.0,9.0,0.9,2.54,0,0,0
01013,2000,1995,17.0,3.0,14.0,11.0,3.0,8.0,0.55,0.85,0,0,0
01013,2001,2048,44.0,2.0,42.0,8.0,0.0,8.0,0.39,2.15,0,0,0
01013,2002,2101,31.0,1.0,30.0,5.0,1.0,4.0,0.24,1.48,0,0,0
01013,2003,2154,33.0,4.0,29.0,9.0,1.0,8.0,0.42,1.53,0,0,0
01013,2004,2207,15.0,1.0,14.0,8.0,0.0,8.0,0.36,0.68,0,0,0
01013,2005,2260,27.0,1.0,26.0,7.0,0.0,7.0,0.31,1.19,0,0,0
01013,2006,2312,22.0,3.0,19.0,14.0,2.0,12.0,0.61,0.95,0,0,0
01013,2007,2365,39.0,3.0,36.0,28.0,3.0,25.0,1.18,1.65,0,0,0
01013,2008,2418,27.0,1.0,26.0,21.0,1.0,20.0,0.87,1.12,0,0,0
01013,2009,2471,42.0,3.0,39.0,38.0,3.0,35.0,1.54,1.7,0,0,0
01013,2010,2524,39.0,1.0,38.0,30.0,1.0,29.0,1.19,1.55,0,0,0
01013,2011,2558,41.0,0.0,41.0,28.0,0.0,28.0,1.09,1.6,0,0,0
01013,2012,2591,35.0,0.0,35.0,28.0,0.0,28.0,1.08,1.35,0,0,0
01013,2013,2625,45.0,0.0,45.0,29.0,0.0,29.0,1.1,1.71,0,0,0
01013,2014,2658,43.0,4.0,39.0,25.0,0.0,25.0,0.94,1.62,0,0,0
01013,2015,2692,53.0,3.0,50.0,42.0,3.0,39.0,1.56,1.97,0,0,0
01013,2016,2725,57.0,4.0,53.0,32.0,3.0,29.0,1.17,2.09,0,0,0
01015,2000,12451,,,,,,,,,0,0,0
01015,2001,12684,422.0,25.0,397.0,176.0,9.0,167.0,1.39,3.33,0,0,0
01015,2002,12917,508.0,36.0,472.0,272.0,20.0,252.0,2.11,3.93,0,0,0
01015,2003,13149,515.0,39.0,476.0,258.0,14.0,244.0,1.96,3.92,0,0,0
01015,2004,13382,494.0,287.0,207.0,273.0,161.0,112.0,2.04,3.69,1,0,0
01015,2005,13615,470.0,107.0,363.0,308.0,65.0,243.0,2.26,3.45,1,0,0
01015,2006,13848,437.0,33.0,404.0,234.0,17.0,217.0,1.69,3.16,0,0,0
01015,2007,14081,470.0,29.0,441.0,277.0,15.0,262.0,1.97,3.34,0,0,0
01015,2008,14313,494.0,24.0,470.0,314.0,16.0,298.0,2.19,3.45,0,0,0
01015,2009,14546,468.0,27.0,441.0,308.0,19.0,289.0,2.12,3.22,0,0,0
01015,2010,14779,517.0,36.0,481.0,327.0,24.0,303.0,2.21,3.5,0,0,0
01015,2011,14861,483.0,32.0,451.0,296.0,21.0,275.0,1.99,3.25,0,0,0
01015,2012,14942,505.0,31.0,474.0,267.0,18.0,249.0,1.79,3.38,0,0,0
01015,2013,15024,492.0,37.0,455.0,315.0,22.0,293.0,2.1,3.27,0,0,0
01015,2014,15105,497.0,30.0,467.0,323.0,20.0,303.0,2.14,3.29,0,0,0
01015,2015,15187,555.0,40.0,515.0,369.0,28.0,341.0,2.43,3.65,0,0,0
01015,2016,15268,507.0,27.0,480.0,305.0,14.0,291.0,2.0,3.32,0,0,0
01017,2000,3528,,,,,,,,,0,0,0
01017,2001,3584,111.0,16.0,95.0,59.0,10.0,49.0,1.65,3.1,0,0,0
01017,2002,3640,111.0,17.0,94.0,36.0,3.0,33.0,0.99,3.05,0,0,0
01017,2003,3697,72.0,13.0,59.0,26.0,4.0,22.0,0.7,1.95,0,0,0
01017,2004,3753,64.0,56.0,8.0,27.0,25.0,2.0,0.72,1.71,1,0,0
01017,2005,3809,57.0,22.0,35.0,40.0,15.0,25.0,1.05,1.5,1,0,0
01017,2006,3865,54.0,3.0,51.0,28.0,2.0,26.0,0.72,1.4,0,0,0
01017,2007,3921,76.0,5.0,71.0,34.0,2.0,32.0,0.87,1.94,0,0,0
01017,2008,3978,89.0,9.0,80.0,33.0,2.0,31.0,0.83,2.24,0,0,0
01017,2009,4034,50.0,6.0,44.0,21.0,4.0,17.0,0.52,1.24,0,0,0
01017,2010,4090,80.0,13.0,67.0,53.0,11.0,42.0,1.3,1.96,0,0,0
01017,2011,4139,89.0,16.0,73.0,35.0,4.0,31.0,0.85,2.15,0,0,0
01017,2012,4188,166.0,60.0,106.0,70.0,29.0,41.0,1.67,3.96,0,0,0
01017,2013,4237,133.0,53.0,80.0,64.0,23.0,41.0,1.51,3.14,0,0,0
01017,2014,4286,148.0,59.0,89.0,95.0,42.0,53.0,2.22,3.45,0,0,0
01017,2015,4335,172.0,61.0,111.0,99.0,36.0,63.0,2.28,3.97,0,0,0
01017,2016,4384,162.0,49.0,113.0,87.0,25.0,62.0,1.98,3.7,0,0,0
01019,2000,1775,22.0,2.0,20.0,9.0,2.0,7.0,0.51,1.24,0,0,0
01019,2001,1826,37.0,4.0,33.0,19.0,3.0,16.0,1.04,2.03,0,0,0
01019,2002,1876,32.0,5.0,27.0,18.0,2.0,16.0,0.96,1.71,0,0,0
01019,2003,1927,37.0,2.0,35.0,11.0,0.0,11.0,0.57,1.92,0,0,0
01019,2004,1977,47.0,2.0,45.0,16.0,0.0,16.0,0.81,2.38,0,0,0
01019,2005,2028,22.0,3.0,19.0,13.0,2.0,11.0,0.64,1.08,0,0,0
01019,2006,2079,18.0,2.0,16.0,13.0,1.0,12.0,0.63,0.87,0,0,0
01019,2007,2129,33.0,3.0,30.0,17.0,3.0,14.0,0.8,1.55,0,0,0
01019,2008,2180,34.0,2.0,32.0,18.0,0.0,18.0,0.83,1.56,0,0,0
01019,2009,2230,25.0,2.0,23.0,14.0,1.0,13.0,0.63,1.12,0,0,0
01019,2010,2281,24.0,2.0,22.0,18.0,2.0,16.0,0.79,1.05,0,0,0
01019,2011,2308,24.0,6.0,18.0,22.0,5.0,17.0,0.95,1.04,0,0,0
01019,2012,2336,30.0,3.0,27.0,18.0,3.0,15.0,0.77,1.28,0,0,0
01019,2013,2363,39.0,4.0,35.0,21.0,2.0,19.0,0.89,1.65,0,0,0
01019,2014,2390,42.0,4.0,38.0,25.0,3.0,22.0,1.05,1.76,0,0,0
01019,2015,2418,24.0,2.0,22.0,21.0,2.0,19.0,0.87,0.99,0,0,0
01019,2016,2445,43.0,1.0,42.0,33.0,1.0,32.0,1.35,1.76,0,0,0
