GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
47001020100,2000,201.0,"Anderson County, Tennessee",2463.0,15.14,66.67,426.61,27250.48,91901.49,22.23,56.25,33.51,3.72,0.32,3.68,0.0,2.31,0.2,831.0,16.0,13.0,1.56,1.93,0,0,1
47001020100,2001,201.0,"Anderson County, Tennessee",2463.0,15.14,66.67,426.61,27250.48,91901.49,22.23,56.25,33.51,3.72,0.32,3.68,0.0,2.31,0.2,864.0,16.0,13.0,1.51,1.85,0,0,1
47001020100,2002,201.0,"Anderson County, Tennessee",2463.0,15.14,66.67,426.61,27250.48,91901.49,22.23,56.25,33.51,3.72,0.32,3.68,0.0,2.31,0.2,896.0,12.0,10.0,1.12,1.34,0,0,1
47001020100,2003,201.0,"Anderson County, Tennessee",2463.0,15.14,66.67,426.61,27250.48,91901.49,22.23,56.25,33.51,3.72,0.32,3.68,0.0,2.31,0.2,929.0,13.0,11.0,1.18,1.4,0,0,1
47001020100,2004,201.0,"Anderson County, Tennessee",2463.0,15.14,66.67,426.61,27250.48,91901.49,22.23,56.25,33.51,3.72,0.32,3.68,0.0,2.31,0.2,961.0,22.0,10.0,1.04,2.29,0,0,1
47001020100,2005,201.0,"Anderson County, Tennessee",3344.14,8.97,64.0,577.13,25847.04,144131.83,26.21,58.66,31.45,4.02,0.18,0.95,0.0,4.74,0.0,994.0,24.0,22.0,2.21,2.41,0,0,1
47001020100,2006,201.0,"Anderson County, Tennessee",3344.14,8.97,64.0,577.13,25847.04,144131.83,26.21,58.66,31.45,4.02,0.18,0.95,0.0,4.74,0.0,1027.0,16.0,16.0,1.56,1.56,0,0,1
47001020100,2007,201.0,"Anderson County, Tennessee",3344.14,8.97,64.0,577.13,25847.04,144131.83,26.21,58.66,31.45,4.02,0.18,0.95,0.0,4.74,0.0,1059.0,27.0,26.0,2.45,2.55,0,0,1
47001020100,2008,201.0,"Anderson County, Tennessee",3344.14,8.97,64.0,577.13,25847.04,144131.83,26.21,58.66,31.45,4.02,0.18,0.95,0.0,4.74,0.0,1092.0,38.0,37.0,3.39,3.48,0,0,1
47001020100,2009,201.0,"Anderson County, Tennessee",3344.14,8.97,64.0,577.13,25847.04,144131.83,26.21,58.66,31.45,4.02,0.18,0.95,0.0,4.74,0.0,1124.0,,,,,0,0,0
